"Neighborhood","TotalUnits","LandSqFt","GrossSqFt","YearBuilt","TaxClass","SalePrice"
"HARLEM-CENTRAL           ",1,0,0,1920,"Class 2",539881
"CHELSEA                  ",0,0,0,1920,"Class 2",540000
"CHELSEA                  ",0,0,0,1932,"Class 2",540000
"EAST VILLAGE             ",0,0,0,0,"Class 2",540000
"FINANCIAL                ",1,0,0,1903,"Class 2",540000
"GRAMERCY                 ",0,0,0,1959,"Class 2",540000
"GRAMERCY                 ",0,0,0,1930,"Class 2",540000
"GRAMERCY                 ",0,0,0,1976,"Class 2",540000
"GREENWICH VILLAGE-CENTRAL",0,0,0,1930,"Class 2",540000
"GREENWICH VILLAGE-WEST   ",0,0,0,1910,"Class 2",540000
"GREENWICH VILLAGE-WEST   ",0,0,0,1968,"Class 2",540000
"HARLEM-CENTRAL           ",1,0,0,2006,"Class 2",540000
"HARLEM-CENTRAL           ",1,0,0,1915,"Class 2",540000
"HARLEM-CENTRAL           ",1,0,0,1910,"Class 2",540000
"HARLEM-EAST              ",1,0,0,2007,"Class 2",540000
"JAVITS CENTER            ",0,0,0,1963,"Class 2",540000
"LOWER EAST SIDE          ",0,0,0,1955,"Class 2",540000
"MANHATTAN VALLEY         ",1,0,0,1960,"Class 2",540000
"MIDTOWN CBD              ",1,0,0,1985,"Class 2",540000
"MIDTOWN WEST             ",0,0,0,1957,"Class 2",540000
"MIDTOWN WEST             ",1,0,0,1989,"Class 2",540000
"MORNINGSIDE HEIGHTS      ",0,0,0,1907,"Class 2",540000
"MURRAY HILL              ",0,0,0,1964,"Class 2",540000
"MURRAY HILL              ",1,0,0,1963,"Class 2",540000
"UPPER EAST SIDE (59-79)  ",0,0,0,1975,"Class 2",540000
"UPPER EAST SIDE (59-79)  ",0,0,0,1963,"Class 2",540000
"UPPER EAST SIDE (59-79)  ",0,0,0,1961,"Class 2",540000
"UPPER EAST SIDE (59-79)  ",0,0,0,1961,"Class 2",540000
"UPPER EAST SIDE (59-79)  ",1,0,0,1991,"Class 2",540000
"UPPER EAST SIDE (59-79)  ",0,0,0,1957,"Class 2",540000
"UPPER EAST SIDE (59-79)  ",0,0,0,1961,"Class 2",540000
"UPPER EAST SIDE (79-96)  ",0,0,0,1928,"Class 2",540000
"UPPER EAST SIDE (79-96)  ",0,0,0,1973,"Class 2",540000
"UPPER EAST SIDE (79-96)  ",0,0,0,1973,"Class 2",540000
"UPPER EAST SIDE (79-96)  ",0,0,0,1941,"Class 2",540000
"UPPER EAST SIDE (79-96)  ",0,0,0,1973,"Class 2",540000
"UPPER EAST SIDE (79-96)  ",1,0,0,0,"Class 2",540000
"UPPER WEST SIDE (59-79)  ",0,0,0,1926,"Class 2",540000
"UPPER WEST SIDE (59-79)  ",0,0,0,1962,"Class 2",540000
"UPPER WEST SIDE (59-79)  ",0,0,0,1977,"Class 2",540000
"UPPER WEST SIDE (59-79)  ",0,0,0,1962,"Class 2",540000
"UPPER WEST SIDE (59-79)  ",0,0,0,1962,"Class 2",540000
"UPPER WEST SIDE (59-79)  ",0,0,0,1962,"Class 2",540000
"UPPER WEST SIDE (79-96)  ",0,0,0,1925,"Class 2",540000
"UPPER WEST SIDE (96-116) ",0,0,0,1930,"Class 2",540000
"WASHINGTON HEIGHTS UPPER ",0,0,0,1928,"Class 2",540000
"WASHINGTON HEIGHTS UPPER ",0,0,0,1939,"Class 2",540000
"GREENWICH VILLAGE-WEST   ",0,0,0,1960,"Class 2",541000
"CHELSEA                  ",0,0,0,1920,"Class 2",542000
"MIDTOWN CBD              ",0,0,0,1962,"Class 2",542000
"MURRAY HILL              ",0,0,0,1966,"Class 2",542000
"UPPER WEST SIDE (59-79)  ",0,0,0,1924,"Class 2",542000
"UPPER WEST SIDE (79-96)  ",0,0,0,1915,"Class 2",542500
"MIDTOWN WEST             ",6,2015,7396,1927,"Class 4",542562
"CLINTON                  ",1,0,0,0,"Class 2",543000
"GRAMERCY                 ",0,0,0,1925,"Class 2",543000
"MIDTOWN EAST             ",1,0,0,1982,"Class 2",543000
"MURRAY HILL              ",1,0,0,0,"Class 2",543000
"FINANCIAL                ",1,0,0,1930,"Class 2",543200
"MURRAY HILL              ",0,0,0,1964,"Class 2",543500
"MIDTOWN EAST             ",0,0,0,1930,"Class 2",544000
"MIDTOWN EAST             ",0,0,0,1968,"Class 2",544500
"MIDTOWN EAST             ",0,0,0,1959,"Class 2",544763
"WASHINGTON HEIGHTS LOWER ",1,0,0,2012,"Class 2",544763
"CHELSEA                  ",0,0,0,0,"Class 2",545000
"CHELSEA                  ",0,0,0,0,"Class 2",545000
"CHELSEA                  ",0,0,0,0,"Class 2",545000
"CLINTON                  ",1,0,0,0,"Class 2",545000
"GRAMERCY                 ",0,0,0,1959,"Class 2",545000
"GRAMERCY                 ",0,0,0,1965,"Class 2",545000
"GREENWICH VILLAGE-CENTRAL",0,0,0,1923,"Class 2",545000
"HARLEM-CENTRAL           ",1,0,0,0,"Class 2",545000
"JAVITS CENTER            ",0,0,0,1960,"Class 2",545000
"MANHATTAN VALLEY         ",1,0,0,1989,"Class 2",545000
"MIDTOWN EAST             ",0,0,0,1977,"Class 2",545000
"MIDTOWN EAST             ",0,0,0,1927,"Class 2",545000
"MIDTOWN EAST             ",0,0,0,1929,"Class 2",545000
"MIDTOWN WEST             ",0,0,0,1903,"Class 2",545000
"MIDTOWN WEST             ",0,0,0,1957,"Class 2",545000
"MIDTOWN WEST             ",1,0,0,0,"Class 2",545000
"MURRAY HILL              ",0,0,0,1959,"Class 2",545000
"MURRAY HILL              ",1,0,0,1952,"Class 2",545000
"MURRAY HILL              ",1,0,0,1988,"Class 2",545000
"UPPER EAST SIDE (59-79)  ",1,0,0,0,"Class 2",545000
"UPPER EAST SIDE (79-96)  ",0,0,0,1962,"Class 2",545000
"UPPER EAST SIDE (79-96)  ",0,0,0,1958,"Class 2",545000
"UPPER EAST SIDE (79-96)  ",1,0,0,1974,"Class 2",545000
"UPPER WEST SIDE (79-96)  ",0,0,0,1915,"Class 2",545000
"UPPER WEST SIDE (79-96)  ",0,0,0,1910,"Class 2",545000
"UPPER WEST SIDE (79-96)  ",1,0,0,1931,"Class 2",545000
"UPPER WEST SIDE (79-96)  ",1,0,0,1931,"Class 2",545000
"UPPER WEST SIDE (96-116) ",0,0,0,1917,"Class 2",545000
"UPPER WEST SIDE (96-116) ",0,0,0,1929,"Class 2",545000
"WASHINGTON HEIGHTS UPPER ",1,0,0,2002,"Class 2",545000
"MIDTOWN WEST             ",1,0,0,0,"Class 4",545061
"CHELSEA                  ",0,0,0,1850,"Class 2",546000
"MIDTOWN WEST             ",1,0,0,0,"Class 4",546900
"WASHINGTON HEIGHTS UPPER ",0,0,0,1936,"Class 2",547000
"FINANCIAL                ",1,0,0,1928,"Class 2",547341
"CHELSEA                  ",0,0,0,1850,"Class 2",547500
"UPPER WEST SIDE (59-79)  ",0,0,0,1910,"Class 2",547500
"UPPER WEST SIDE (79-96)  ",1,0,0,0,"Class 2",547812
"WASHINGTON HEIGHTS LOWER ",0,0,0,1930,"Class 2",548000
"UPPER EAST SIDE (59-79)  ",0,0,0,1959,"Class 2",548500
"ALPHABET CITY            ",0,0,0,1900,"Class 2",549000
"CLINTON                  ",1,0,0,0,"Class 2",549000
"FLATIRON                 ",0,0,0,1964,"Class 2",549000
"GRAMERCY                 ",0,0,0,1964,"Class 2",549000
"GRAMERCY                 ",0,0,0,1964,"Class 2",549000
"GRAMERCY                 ",0,0,0,1931,"Class 2",549000
"HARLEM-CENTRAL           ",1,0,0,0,"Class 2",549000
"HARLEM-CENTRAL           ",1,0,0,1910,"Class 2",549000
"HARLEM-EAST              ",1,0,0,2007,"Class 2",549000
"LOWER EAST SIDE          ",0,0,0,1955,"Class 2",549000
"MIDTOWN EAST             ",1,0,0,1962,"Class 2",549000
"MURRAY HILL              ",0,0,0,1925,"Class 2",549000
"UPPER EAST SIDE (79-96)  ",0,0,0,1961,"Class 2",549000
"UPPER EAST SIDE (79-96)  ",0,0,0,1920,"Class 2",549000
"UPPER EAST SIDE (79-96)  ",1,0,0,0,"Class 2",549000
"UPPER WEST SIDE (59-79)  ",0,0,0,1962,"Class 2",549000
"UPPER WEST SIDE (79-96)  ",0,0,0,1922,"Class 2",549000
"UPPER WEST SIDE (79-96)  ",0,0,0,1901,"Class 2",549000
"UPPER WEST SIDE (96-116) ",0,0,0,1945,"Class 2",549000
"UPPER WEST SIDE (96-116) ",0,0,0,1945,"Class 2",549000
"UPPER WEST SIDE (96-116) ",0,0,0,1925,"Class 2",549000
"UPPER WEST SIDE (96-116) ",0,0,0,1910,"Class 2",549000
"UPPER WEST SIDE (79-96)  ",0,0,0,1924,"Class 2",549500
"HARLEM-CENTRAL           ",1,0,0,1910,"Class 1",549855
"HARLEM-CENTRAL           ",1,0,0,1910,"Class 2",549855
"CHELSEA                  ",0,0,0,1850,"Class 2",550000
"CHELSEA                  ",0,0,0,1917,"Class 2",550000
"CHELSEA                  ",0,0,0,1940,"Class 2",550000
"CHINATOWN                ",1,0,0,0,"Class 2",550000
"CLINTON                  ",0,0,0,1910,"Class 2",550000
"FINANCIAL                ",1,0,0,1956,"Class 2",550000
"FINANCIAL                ",1,0,0,1903,"Class 2",550000
"GRAMERCY                 ",0,0,0,1958,"Class 2",550000
"GREENWICH VILLAGE-CENTRAL",0,0,0,1900,"Class 2",550000
"GREENWICH VILLAGE-WEST   ",0,0,0,1961,"Class 2",550000
"GREENWICH VILLAGE-WEST   ",0,0,0,1961,"Class 2",550000
"GREENWICH VILLAGE-WEST   ",0,0,0,1960,"Class 2",550000
"HARLEM-CENTRAL           ",4,1873,2922,1909,"Class 2",550000
"HARLEM-CENTRAL           ",1,0,0,2008,"Class 2",550000
"HARLEM-CENTRAL           ",1,0,0,2003,"Class 2",550000
"HARLEM-CENTRAL           ",1,0,0,2003,"Class 2",550000
"HARLEM-UPPER             ",0,0,0,1902,"Class 2",550000
"INWOOD                   ",0,0,0,1918,"Class 2",550000
"KIPS BAY                 ",1,0,0,0,"Class 2",550000
"KIPS BAY                 ",1,0,0,1984,"Class 2",550000
"KIPS BAY                 ",0,0,0,0,"Class 2",550000
"LOWER EAST SIDE          ",0,0,0,1955,"Class 2",550000
"LOWER EAST SIDE          ",0,0,0,1955,"Class 2",550000
"LOWER EAST SIDE          ",1,0,0,2010,"Class 2",550000
"LOWER EAST SIDE          ",1,0,0,0,"Class 2",550000
"MANHATTAN VALLEY         ",1,0,0,1960,"Class 2",550000
"MIDTOWN CBD              ",0,0,0,1960,"Class 2",550000
"MIDTOWN EAST             ",0,0,0,1977,"Class 2",550000
"MIDTOWN EAST             ",0,0,0,1977,"Class 2",550000
"MIDTOWN EAST             ",0,0,0,1955,"Class 2",550000
"MIDTOWN EAST             ",0,0,0,1930,"Class 2",550000
"MIDTOWN EAST             ",0,0,0,1940,"Class 2",550000
"MIDTOWN EAST             ",0,0,0,1930,"Class 2",550000
"MIDTOWN EAST             ",0,0,0,1930,"Class 2",550000
"MIDTOWN EAST             ",0,0,0,1931,"Class 2",550000
"MIDTOWN EAST             ",0,0,0,1928,"Class 2",550000
"MIDTOWN EAST             ",0,0,0,1931,"Class 2",550000
"MIDTOWN EAST             ",0,0,0,1929,"Class 2",550000
"MIDTOWN EAST             ",1,0,0,1986,"Class 2",550000
"MIDTOWN WEST             ",0,0,0,1935,"Class 2",550000
"MIDTOWN WEST             ",1,0,0,1989,"Class 2",550000
"MIDTOWN WEST             ",1,0,0,1989,"Class 2",550000
"MURRAY HILL              ",0,0,0,1963,"Class 2",550000
"MURRAY HILL              ",0,0,0,1960,"Class 2",550000
"UPPER EAST SIDE (59-79)  ",0,0,0,1958,"Class 2",550000
"UPPER EAST SIDE (59-79)  ",0,0,0,1929,"Class 2",550000
"UPPER EAST SIDE (59-79)  ",0,0,0,1932,"Class 2",550000
"UPPER EAST SIDE (59-79)  ",0,0,0,1962,"Class 2",550000
"UPPER EAST SIDE (59-79)  ",1,0,0,1989,"Class 2",550000
"UPPER EAST SIDE (59-79)  ",1,0,0,1989,"Class 2",550000
"UPPER EAST SIDE (79-96)  ",0,0,0,1938,"Class 2",550000
"UPPER EAST SIDE (79-96)  ",0,0,0,1950,"Class 2",550000
"UPPER EAST SIDE (79-96)  ",0,0,0,1958,"Class 2",550000
"UPPER EAST SIDE (79-96)  ",0,0,0,1962,"Class 2",550000
"UPPER EAST SIDE (79-96)  ",0,0,0,1942,"Class 2",550000
"UPPER EAST SIDE (79-96)  ",1,0,0,1981,"Class 2",550000
"UPPER EAST SIDE (79-96)  ",1,0,0,0,"Class 2",550000
"UPPER EAST SIDE (96-110) ",0,0,0,1924,"Class 2",550000
"UPPER EAST SIDE (96-110) ",0,0,0,1959,"Class 2",550000
"UPPER WEST SIDE (59-79)  ",0,0,0,1969,"Class 2",550000
"UPPER WEST SIDE (59-79)  ",0,0,0,1920,"Class 2",550000
"UPPER WEST SIDE (59-79)  ",0,0,0,1924,"Class 2",550000
"UPPER WEST SIDE (59-79)  ",0,0,0,1963,"Class 2",550000
"UPPER WEST SIDE (59-79)  ",0,0,0,1936,"Class 2",550000
"UPPER WEST SIDE (59-79)  ",0,0,0,1930,"Class 2",550000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 2",550000
"UPPER WEST SIDE (59-79)  ",1,0,0,1939,"Class 2",550000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 2",550000
"UPPER WEST SIDE (59-79)  ",0,0,0,1963,"Class 2",550000
"UPPER WEST SIDE (79-96)  ",0,0,0,1922,"Class 2",550000
"UPPER WEST SIDE (79-96)  ",1,0,0,1931,"Class 2",550000
"UPPER WEST SIDE (79-96)  ",0,0,0,1986,"Class 2",550000
"UPPER WEST SIDE (96-116) ",0,0,0,1918,"Class 2",550000
"UPPER WEST SIDE (96-116) ",0,0,0,1926,"Class 2",550000
"WASHINGTON HEIGHTS LOWER ",0,0,0,1930,"Class 2",550000
"WASHINGTON HEIGHTS LOWER ",1,2500,500,1940,"Class 4",550000
"WASHINGTON HEIGHTS UPPER ",0,0,0,1950,"Class 2",550000
"UPPER WEST SIDE (96-116) ",0,0,0,1930,"Class 2",550500
"UPPER WEST SIDE (96-116) ",0,0,0,1910,"Class 2",551500
"GREENWICH VILLAGE-CENTRAL",0,0,0,1940,"Class 2",551823
"FINANCIAL                ",1,0,0,1930,"Class 2",552000
"UPPER EAST SIDE (59-79)  ",0,0,0,1938,"Class 2",552000
"GRAMERCY                 ",1,0,0,1965,"Class 2",552483
"CHINATOWN                ",1,0,0,0,"Class 2",552800
"UPPER EAST SIDE (79-96)  ",0,0,0,1925,"Class 2",553000
"UPPER WEST SIDE (59-79)  ",0,0,0,1962,"Class 2",553356
"UPPER WEST SIDE (59-79)  ",0,0,0,1977,"Class 2",554000
"CIVIC CENTER             ",1,0,0,1924,"Class 2",554946
"FINANCIAL                ",1,0,0,2003,"Class 2",554946
"FINANCIAL                ",1,0,0,2003,"Class 2",554946
"GREENWICH VILLAGE-CENTRAL",0,0,0,1955,"Class 2",555000
"GREENWICH VILLAGE-WEST   ",0,0,0,1910,"Class 2",555000
"GREENWICH VILLAGE-WEST   ",0,0,0,1930,"Class 2",555000
"HARLEM-UPPER             ",0,0,0,1909,"Class 2",555000
"MANHATTAN VALLEY         ",1,0,0,1961,"Class 2",555000
"MANHATTAN VALLEY         ",1,0,0,1960,"Class 2",555000
"MIDTOWN EAST             ",0,0,0,1960,"Class 2",555000
"MIDTOWN EAST             ",0,0,0,1959,"Class 2",555000
"MURRAY HILL              ",1,0,0,0,"Class 2",555000
"UPPER EAST SIDE (59-79)  ",0,0,0,1965,"Class 2",555000
"UPPER EAST SIDE (59-79)  ",0,0,0,1957,"Class 2",555000
"UPPER EAST SIDE (79-96)  ",0,0,0,1957,"Class 2",555000
"UPPER WEST SIDE (79-96)  ",0,0,0,1910,"Class 2",555000
"UPPER WEST SIDE (79-96)  ",1,0,0,1973,"Class 2",555000
"WASHINGTON HEIGHTS LOWER ",0,0,0,1930,"Class 2",555000
"WASHINGTON HEIGHTS LOWER ",0,0,0,1920,"Class 2",555000
"HARLEM-CENTRAL           ",1,0,0,1920,"Class 2",555018
"GREENWICH VILLAGE-WEST   ",0,0,0,1987,"Class 2",556000
"UPPER WEST SIDE (59-79)  ",0,0,0,1977,"Class 2",556500
"UPPER EAST SIDE (59-79)  ",0,0,0,1910,"Class 2",557013
"UPPER EAST SIDE (59-79)  ",0,0,0,1931,"Class 2",557500
"CLINTON                  ",0,0,0,1940,"Class 2",558000
"GREENWICH VILLAGE-WEST   ",0,0,0,1900,"Class 2",558000
"GREENWICH VILLAGE-WEST   ",0,0,0,1900,"Class 2",558000
"WASHINGTON HEIGHTS LOWER ",1,0,0,2012,"Class 2",558000
"WASHINGTON HEIGHTS LOWER ",1,0,0,2012,"Class 2",558001
"GRAMERCY                 ",1,0,0,1900,"Class 2",558318
"MIDTOWN EAST             ",0,0,0,1977,"Class 2",559000
"MIDTOWN WEST             ",1,0,0,1989,"Class 2",559000
"UPPER WEST SIDE (59-79)  ",0,0,0,1930,"Class 2",559000
"WASHINGTON HEIGHTS UPPER ",0,0,0,1963,"Class 2",559000
"CHELSEA                  ",0,0,0,1963,"Class 2",560000
"CHELSEA                  ",1,0,0,1930,"Class 2",560000
"FLATIRON                 ",0,0,0,1910,"Class 2",560000
"GRAMERCY                 ",0,0,0,1961,"Class 2",560000
"GREENWICH VILLAGE-CENTRAL",0,0,0,1900,"Class 2",560000
"GREENWICH VILLAGE-WEST   ",0,0,0,0,"Class 2",560000
"HARLEM-CENTRAL           ",11,1665,2799,1910,"Class 2",560000
"LOWER EAST SIDE          ",0,0,0,1960,"Class 2",560000
"LOWER EAST SIDE          ",0,0,0,1955,"Class 2",560000
"MIDTOWN EAST             ",0,0,0,1964,"Class 2",560000
"MIDTOWN EAST             ",0,0,0,1964,"Class 2",560000
"MIDTOWN EAST             ",0,0,0,1930,"Class 2",560000
"MIDTOWN EAST             ",0,0,0,1969,"Class 2",560000
"MIDTOWN EAST             ",1,0,0,1958,"Class 2",560000
"MIDTOWN EAST             ",1,0,0,1985,"Class 2",560000
"MIDTOWN WEST             ",1,0,0,1989,"Class 2",560000
"MORNINGSIDE HEIGHTS      ",0,0,0,1907,"Class 2",560000
"MURRAY HILL              ",0,0,0,1941,"Class 2",560000
"TRIBECA                  ",1,0,0,0,"Class 2",560000
"UPPER EAST SIDE (59-79)  ",0,0,0,1963,"Class 2",560000
"UPPER EAST SIDE (59-79)  ",0,0,0,1958,"Class 2",560000
"UPPER EAST SIDE (59-79)  ",0,0,0,1928,"Class 2",560000
"UPPER EAST SIDE (59-79)  ",0,0,0,1957,"Class 2",560000
"UPPER EAST SIDE (79-96)  ",0,0,0,1973,"Class 2",560000
"UPPER EAST SIDE (79-96)  ",0,0,0,1910,"Class 2",560000
"UPPER EAST SIDE (79-96)  ",0,0,0,1939,"Class 2",560000
"UPPER WEST SIDE (59-79)  ",0,0,0,1927,"Class 2",560000
"UPPER WEST SIDE (59-79)  ",0,0,0,1900,"Class 2",560000
"UPPER WEST SIDE (59-79)  ",0,0,0,1924,"Class 2",560000
"UPPER WEST SIDE (79-96)  ",0,0,0,1913,"Class 2",560000
"UPPER WEST SIDE (79-96)  ",0,0,0,1915,"Class 2",560000
"UPPER WEST SIDE (79-96)  ",0,0,0,1940,"Class 2",560000
"UPPER WEST SIDE (96-116) ",0,0,0,1929,"Class 2",560000
"WASHINGTON HEIGHTS UPPER ",0,0,0,1920,"Class 2",560000
"FINANCIAL                ",1,0,0,2003,"Class 2",560037
"GRAMERCY                 ",1,0,0,1900,"Class 2",560037
"CIVIC CENTER             ",1,0,0,1924,"Class 2",560038
"UPPER WEST SIDE (59-79)  ",0,0,0,1942,"Class 2",561000
"GRAMERCY                 ",0,0,0,1945,"Class 2",562000
"MIDTOWN EAST             ",0,0,0,1955,"Class 2",562000
"CHELSEA                  ",1,0,0,1984,"Class 2",562500
"UPPER EAST SIDE (59-79)  ",0,0,0,1963,"Class 2",562500
"UPPER WEST SIDE (59-79)  ",0,0,0,1910,"Class 2",562500
"HARLEM-EAST              ",0,0,0,2005,"Class 2",563000
"MANHATTAN VALLEY         ",1,0,0,1989,"Class 2",563000
"UPPER EAST SIDE (79-96)  ",0,0,0,1923,"Class 2",563000
"GREENWICH VILLAGE-WEST   ",0,0,0,1900,"Class 2",564000
"MIDTOWN EAST             ",0,0,0,1959,"Class 2",564110
"UPPER WEST SIDE (79-96)  ",0,0,0,1911,"Class 2",564500
"CHELSEA                  ",0,0,0,1973,"Class 2",565000
"FINANCIAL                ",1,0,0,2003,"Class 2",565000
"GRAMERCY                 ",0,0,0,1962,"Class 2",565000
"GREENWICH VILLAGE-CENTRAL",0,0,0,1930,"Class 2",565000
"HARLEM-CENTRAL           ",1,0,0,1920,"Class 2",565000
"HARLEM-CENTRAL           ",0,0,0,2005,"Class 2",565000
"LOWER EAST SIDE          ",0,0,0,1960,"Class 2",565000
"LOWER EAST SIDE          ",0,0,0,1960,"Class 2",565000
"LOWER EAST SIDE          ",0,0,0,1960,"Class 2",565000
"MIDTOWN EAST             ",0,0,0,1977,"Class 2",565000
"MIDTOWN EAST             ",0,0,0,1929,"Class 2",565000
"MIDTOWN WEST             ",1,0,0,1989,"Class 2",565000
"MIDTOWN WEST             ",1,0,0,1989,"Class 2",565000
"MURRAY HILL              ",0,0,0,1984,"Class 2",565000
"TRIBECA                  ",1,0,0,0,"Class 2",565000
"UPPER EAST SIDE (59-79)  ",0,0,0,1963,"Class 2",565000
"UPPER EAST SIDE (59-79)  ",1,0,0,1991,"Class 2",565000
"UPPER EAST SIDE (59-79)  ",1,0,0,1991,"Class 2",565000
"UPPER EAST SIDE (59-79)  ",0,0,0,1957,"Class 2",565000
"UPPER EAST SIDE (79-96)  ",0,0,0,1973,"Class 2",565000
"UPPER EAST SIDE (96-110) ",0,0,0,1959,"Class 2",565000
"UPPER WEST SIDE (79-96)  ",0,0,0,1928,"Class 2",565000
"UPPER WEST SIDE (79-96)  ",0,0,0,1901,"Class 2",565000
"UPPER WEST SIDE (96-116) ",0,0,0,1930,"Class 2",565000
"UPPER WEST SIDE (96-116) ",0,0,0,1912,"Class 2",565000
"UPPER WEST SIDE (96-116) ",1,0,0,1920,"Class 2",565000
"UPPER WEST SIDE (96-116) ",0,0,0,1910,"Class 2",565000
"UPPER WEST SIDE (96-116) ",0,0,0,1910,"Class 2",565000
"UPPER WEST SIDE (96-116) ",0,0,0,1910,"Class 2",565000
"WASHINGTON HEIGHTS UPPER ",0,0,0,1936,"Class 2",565000
"FINANCIAL                ",1,0,0,2003,"Class 2",565128
"ALPHABET CITY            ",1,0,0,2008,"Class 2",566000
"MIDTOWN EAST             ",0,0,0,1929,"Class 2",566000
"UPPER EAST SIDE (79-96)  ",0,0,0,1910,"Class 2",567153
"CHELSEA                  ",0,0,0,0,"Class 2",567500
"FINANCIAL                ",1,0,0,1930,"Class 2",567500
"MORNINGSIDE HEIGHTS      ",0,0,0,1940,"Class 2",567500
"UPPER WEST SIDE (59-79)  ",0,0,0,1917,"Class 2",567500
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 2",567500
"WASHINGTON HEIGHTS UPPER ",0,0,0,1939,"Class 2",567500
"MIDTOWN WEST             ",1,0,0,0,"Class 2",568000
"UPPER WEST SIDE (79-96)  ",0,0,0,1926,"Class 2",568000
"WASHINGTON HEIGHTS LOWER ",1,0,0,2012,"Class 2",568183
"UPPER EAST SIDE (79-96)  ",0,0,0,1962,"Class 2",568500
"CHELSEA                  ",0,0,0,1973,"Class 2",569000
"FINANCIAL                ",1,0,0,1930,"Class 2",569000
"FLATIRON                 ",0,0,0,1964,"Class 2",569000
"MURRAY HILL              ",1,0,0,1988,"Class 2",569000
"UPPER EAST SIDE (59-79)  ",0,0,0,1961,"Class 2",569000
"WASHINGTON HEIGHTS UPPER ",0,0,0,1939,"Class 2",569000
"MIDTOWN WEST             ",1,0,0,1989,"Class 2",569500
"CHELSEA                  ",0,0,0,1963,"Class 2",570000
"EAST VILLAGE             ",0,0,0,1929,"Class 2",570000
"GRAMERCY                 ",0,0,0,1987,"Class 2",570000
"GRAMERCY                 ",0,0,0,1962,"Class 2",570000
"GRAMERCY                 ",0,0,0,1962,"Class 2",570000
"GREENWICH VILLAGE-CENTRAL",0,0,0,1926,"Class 2",570000
"GREENWICH VILLAGE-WEST   ",0,0,0,1900,"Class 2",570000
"GREENWICH VILLAGE-WEST   ",0,0,0,1900,"Class 2",570000
"GREENWICH VILLAGE-WEST   ",0,0,0,1963,"Class 2",570000
"GREENWICH VILLAGE-WEST   ",1,0,0,1986,"Class 2",570000
"HARLEM-CENTRAL           ",1,0,0,0,"Class 2",570000
"KIPS BAY                 ",0,0,0,1965,"Class 2",570000
"KIPS BAY                 ",1,0,0,1988,"Class 2",570000
"LOWER EAST SIDE          ",0,0,0,1955,"Class 2",570000
"LOWER EAST SIDE          ",0,0,0,1960,"Class 2",570000
"LOWER EAST SIDE          ",0,0,0,1960,"Class 2",570000
"MANHATTAN VALLEY         ",1,0,0,1900,"Class 2",570000
"MIDTOWN EAST             ",0,0,0,1960,"Class 2",570000
"MIDTOWN EAST             ",0,0,0,1963,"Class 2",570000
"MIDTOWN EAST             ",0,0,0,1959,"Class 2",570000
"MIDTOWN EAST             ",1,0,0,1990,"Class 2",570000
"MIDTOWN WEST             ",0,0,0,1957,"Class 2",570000
"MORNINGSIDE HEIGHTS      ",0,0,0,1910,"Class 2",570000
"MURRAY HILL              ",0,0,0,1953,"Class 2",570000
"MURRAY HILL              ",0,0,0,1963,"Class 2",570000
"UPPER EAST SIDE (59-79)  ",0,0,0,1920,"Class 2",570000
"UPPER EAST SIDE (79-96)  ",0,0,0,1910,"Class 2",570000
"UPPER EAST SIDE (79-96)  ",0,0,0,1929,"Class 2",570000
"UPPER EAST SIDE (96-110) ",0,0,0,1930,"Class 2",570000
"UPPER WEST SIDE (59-79)  ",0,0,0,1924,"Class 2",570000
"UPPER WEST SIDE (59-79)  ",0,0,0,1905,"Class 2",570000
"UPPER WEST SIDE (96-116) ",0,0,0,1923,"Class 2",570000
"WASHINGTON HEIGHTS UPPER ",0,0,0,1925,"Class 2",570000
"UPPER EAST SIDE (79-96)  ",1,0,0,1998,"Class 2",572000
"UPPER EAST SIDE (59-79)  ",0,0,0,1964,"Class 2",572500
"GREENWICH VILLAGE-WEST   ",0,0,0,1963,"Class 2",573000
"MIDTOWN EAST             ",1,0,0,1988,"Class 2",573000
"UPPER WEST SIDE (79-96)  ",0,0,0,1900,"Class 2",573225
"UPPER EAST SIDE (79-96)  ",1,0,0,0,"Class 2",573400
"ALPHABET CITY            ",0,0,0,1920,"Class 2",574000
"UPPER WEST SIDE (59-79)  ",0,0,0,1975,"Class 2",574000
"CHELSEA                  ",0,0,0,1900,"Class 2",575000
"CIVIC CENTER             ",0,0,0,1965,"Class 2",575000
"EAST VILLAGE             ",0,0,0,1900,"Class 2",575000
"FASHION                  ",0,0,0,1928,"Class 2",575000
"FASHION                  ",1,0,0,2005,"Class 2",575000
"GRAMERCY                 ",0,0,0,1962,"Class 2",575000
"GRAMERCY                 ",0,0,0,1903,"Class 2",575000
"GRAMERCY                 ",0,0,0,1964,"Class 2",575000
"GREENWICH VILLAGE-CENTRAL",0,0,0,1963,"Class 2",575000
"GREENWICH VILLAGE-WEST   ",0,0,0,1962,"Class 2",575000
"HARLEM-CENTRAL           ",1,0,0,1915,"Class 2",575000
"HARLEM-EAST              ",0,0,0,2005,"Class 2",575000
"KIPS BAY                 ",1,0,0,1962,"Class 2",575000
"LOWER EAST SIDE          ",0,0,0,1949,"Class 2",575000
